"Perioden";"Totaal motorvoertuigen (x 1 000)";"Personenauto (x 1 000)";"Motorfiets (x 1 000)";"Totaal bedrijfsmotorvoertuigen (x 1 000)";"Bestelauto (x 1 000)";"Speciaal voertuig (x 1 000)";"Bus (x 1 000)"
"1927";93,8;41,2;28,8;23,7;7,1;0,7;2,9
"1928";103,9;47,7;28;28,3;8,8;0,8;3,1
"1929";117,7;55,3;28,5;33,9;11;0,8;3,2
"1930";133,8;63,2;30,4;40,2;13,4;0,9;3,4
"1931";147,9;70,6;31,5;45,7;15,5;1;3,6
"1932";159,2;77,3;32,4;49,5;16,9;1,1;3,7
"1933";168,5;82,4;32,9;53,2;18,3;1,2;3,8
"1934";181,6;86,6;43,7;51,4;17,4;1,4;3,8
"1935";184,6;88,5;43,1;53,1;19,6;1,6;3,8
"1936";183;87,6;42,6;52,7;20,2;1,8;3,8
"1937";188,8;88,7;45,9;54,2;21,4;1,9;3,8
"1938";197,3;90,9;51;55,4;21,8;2,1;3,9
"1939";211,4;95,1;58,8;57,5;22,7;2,2;4,3
"1940";222,5;98,2;65,2;59;23,3;2,2;4,4
"1941";48,9;16,1;4,6;28,1;9,7;1,2;2
"1942";46,5;15,2;4,1;27,2;10,2;1,1;1,8
"1943";40,5;13,5;3;24,1;8,3;1;1,6
"1944";34,9;12,2;1,9;20,8;7,5;0,9;0,8
"1945";30,6;10,8;1,3;18,4;6,8;0,9;0,4
"1946";113,6;37,1;37,7;38,8;15,8;2;1,9
"1947";171,4;54,5;63,9;53;21,9;2,3;3
"1948";211,4;73,8;71,6;65,9;26,9;2,5;4,5
"1949";244,1;95;75,8;73,2;30;2,7;5
"1950";286,4;120,5;85,5;80,4;33,5;2,7;5,6
"1951";331,2;142;97,4;91,8;39,2;2,8;5,8
"1952";359,7;158,4;107,4;93,9;42,5;3,2;5,9
"1953";387,4;173;113,7;100,7;45,7;3,7;6
"1954";418,4;194,2;120,2;104;49,1;4,3;6
"1955";483,2;231,5;133,5;118,2;55,6;4,6;6,2
"1956";555,4;282,4;148,7;124,3;61,7;4,9;6,7
"1957";631;335,1;160,1;135,8;67,2;5;7,2
"1958";688,1;380,1;167,6;140,4;71;5;7,5
"1959";739,9;418,8;171,8;149,3;78,2;5,3;7,8
"1960";781,7;464,4;168,4;148,9;77,8;5,6;8,2
"1961";864;537,8;165,2;161;84,6;5,8;8,6
"1962";968,6;634,7;160,1;173,8;94,6;5,9;8,7
"1963";1090;751,7;152,9;185,4;103,6;6,1;8,8
"1964";1251,1;903,4;146,7;201;113,8;6,6;8,8
"1965";1461;1094,9;146,5;219,6;126,2;7,1;8,9
"1966";1678,9;1303,2;140,7;235;137;7,5;9
"1967";1882,7;1515;121,2;246,5;144;8,2;9,1
"1968";2109,7;1744,7;108,9;256,1;150,4;8,2;9
"1969";2375,3;2012,1;97,5;265,7;157,3;8,3;8,7
"1970";2519,5;2163;81,1;275,4;164,9;8,2;8,5
"1971";2776;2426;63,9;286,1;170,6;9,1;8,4
"1972";2984,1;2632,7;55,4;296;177;9,1;8,6
"1973";3167,3;2809,5;52;305,8;183,7;9,1;8,6
"1974";3299,5;2928;55,5;316;189,9;10;8,9
"1975";3480;3092,5;61,8;325,7;195,2;11,8;9,2
"1976";3675,6;3285,7;65,5;324,4;194,1;11,8;9,2
"1977";3902;3518;71;313;188;12;8,4
"1978";4094;3703;80;311;183;14;8,7
"1979";4316;3906;89;321;190;19;9
"1980";4557;4123;94;340;204;24;9,3
"1981";4719;4263;101;355;210;32;9,8
"1982";4794;4321;111;362;217;34;10
"1983";4864;4385;116;363;223;31;10,5
"1984";4962;4471;119;372;231;30;10,6
"1985";5062;4551;121;390;249;27;10,6
"1986";5154;4616;121;417;276;25;10,5
"1987";5247;4676;123;448;305;25;10,5
"1988";5419;4806;127;486;339;25;10,7
"1989";5612;4967;132;513;363;25;11
"1990";5800;5118;143;539;385;26;11,4
"1991";5929;5205;159;565;407;26;11,7
"1992";6027;5247;190;590;430;25;11,9
"1993";6206;5341;234;631;469;25;11,8
"1994";6378;5456;270;652;492;24;11,5
"1995";6529;5581;294;654;495;24;11,2
"1996";6645;5664;315;666;501;25;11,3
"1997";6859;5810;354,1;695;525;28;11,2
"1998";7043;5931;373,4;738;567;30;10,8
"1999";7319;6120;392,5;806;628;33;11
"2000";7640,8;6343,2;414;883,6;696,1;36,4;11,2
"2001";7926,9;6539;437,8;950,1;755,8;39,7;11,4
"2002";8168,3;6710,6;460,8;996,9;797,6;43,3;11,3
"2003";8387,7;6854,9;494,3;1038,5;835,7;46,9;11,4
"2004";8495,5;6908,9;516,4;1070,2;866,8;49,2;11,3
"2005";8627,2;6992;536,9;1098,3;893,5;51,5;11,2
"2006";8715,8;7092,3;552,9;1070,6;863;55,1;11
"2007";8862,9;7230,2;567,9;1064,8;849,3;58,3;10,8
"2008";9059,6;7391,9;585,2;1082,5;862,3;61;11,1
"2009";9249,4;7542,3;605,6;1101,4;876,2;64,2;11,3
"2010";9340;7622,4;623,4;1094,2;872,4;65,3;11,6
"2011";9451,7;7735,5;636,2;1080;861,3;64,8;11,3
"2012";9571,5;7858,7;647;1065,8;849,7;64,1;11
"2013";9612,3;7915,6;653,2;1043,4;832,1;63,3;10,5
"2014";9609,9;7932,3;654;1023,6;815,2;62,4;9,9
"2015";9651;7979,1;652,3;1019,6;815;61,1;9,6
"2016";9786,2;8100,9;652,5;1032,8;828,4;60,3;9,4
"2017";9937,7;8223;656;1058,8;852,6;59,9;9,8
"2018";10127,2;8373,2;661,6;1092,3;883,4;59,4;9,9
"2019";10199,7;8443;646;1110,7;903;57,7;9,5
"2020";10374,7;8584,4;654,4;1135,9;927,3;57,1;9,7
"2021";10504,7;8686,4;666,6;1151,7;945,4;56,5;9,1
"2022";10688,3;8827,7;677,8;1182,8;974,8;56,2;8,5
"2023";10808,9;8917,1;690,7;1201,1;989,8;56;8,8
